Reporter Name,Partner Name,Trade Flow,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,Falkland Island,Export,Export Partner Share (%),0.0002,0.0002,0.0002,0.0001,0.0001,0.0005,0.0002,0.0004,0.0001,0.0001,0.0001,0.0001,0,0,0.0008,0.0053,0.0001,0.0001,0,0.0001
Australia,Fiji,Export,Export Partner Share (%),0.5364,0.4836,0.4433,0.4499,0.3406,0.2975,0.274,0.2142,0.1806,0.1599,0.1343,0.1181,0.12,0.1147,0.1173,0.1475,0.1653,0.1411,0.1394,0.1187
Australia,Finland,Export,Export Partner Share (%),0.4047,0.3308,0.3608,0.4918,0.4766,0.4622,0.9371,0.6934,0.4741,0.1458,0.1069,0.1226,0.097,0.0263,0.0175,0.0142,0.0283,0.0195,0.0261,0.0196
Australia,Fm Sudan,Export,Export Partner Share (%),0.0794,0.1062,0.1218,0.1362,0.1638,0.157,0.1799,0.0833,0.1139,0.1585,0.0795,0.0774,,,,,,,,
Australia,Fr. So. Ant. Tr,Export,Export Partner Share (%),0.0066,0.0008,0.0006,0.0005,,,,,,,,,,,,0,,,,
Australia,France,Export,Export Partner Share (%),0.8381,0.9885,1.2009,1.0553,0.8793,0.8299,0.7754,0.8554,0.7914,0.6291,0.5203,0.4695,0.4379,0.4611,0.4297,0.4563,0.4647,0.4614,0.4826,0.41
Australia,French Polynesia,Export,Export Partner Share (%),0.2077,0.1818,0.2061,0.2718,0.1383,0.0521,0.0445,0.0486,0.0358,0.0366,0.0241,0.0188,0.0208,0.0169,0.018,0.0196,0.0192,0.0171,0.0165,0.0154
Australia,Gabon,Export,Export Partner Share (%),0.0013,0.0012,0.0005,0.0004,0.0006,0.0005,0.0006,0.0007,0.0011,0.0015,0.0009,0.001,0.0014,0.0014,0.0018,0.0019,0.0007,0.0006,0.0007,0.0005
Australia,"Gambia, The",Export,Export Partner Share (%),0.0011,0,0.0002,0.0004,0.0002,0.0045,0.0001,0,0.0001,0.0001,0.0001,0.0002,0,0,,0,0,0,0,0
Australia,Georgia,Export,Export Partner Share (%),0.0029,0.003,0.0054,0.0018,0.0022,0.0047,0.0039,0.0018,0.0072,0.0116,0.0229,0.0129,0.0063,0.0108,0.0029,0.0027,0.0018,0.0037,0.0216,0.0223
Australia,Germany,Export,Export Partner Share (%),1.1792,1.1897,1.3348,1.1832,1.117,0.9734,0.841,0.7976,0.828,0.6708,0.6739,0.7276,0.655,0.5452,0.5096,0.5968,0.7027,0.6691,0.6572,0.6397
Australia,Ghana,Export,Export Partner Share (%),0.0517,0.0555,0.0487,0.0622,0.0796,0.071,0.0568,0.062,0.0779,0.0642,0.0635,0.0665,0.0821,0.0394,0.0199,0.0244,0.0469,0.0335,0.0252,0.0241
Australia,Gibraltar,Export,Export Partner Share (%),0.0007,0.0011,0.0025,0.0037,0.0028,0.0035,0.0015,0.0011,0.0009,0.0049,0.0076,0.0081,0.0003,0.0004,0.0001,0.0011,0,0,0,0
Australia,Greece,Export,Export Partner Share (%),0.187,0.0856,0.0407,0.0468,0.053,0.0743,0.0311,0.0659,0.0399,0.0272,0.0167,0.011,0.0099,0.0041,0.0048,0.0055,0.0064,0.0064,0.0093,0.0093
Australia,Grenada,Export,Export Partner Share (%),0.0022,0.0011,0.0012,0.0018,0.0012,0.0002,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,,0,0.0001,0,0.0001,0.0001,0.0001
Australia,Guam,Export,Export Partner Share (%),0.0173,0.0156,0.0145,0.0168,0.0123,0.0111,0.009,0.008,0.0049,0.0064,0.0074,0.0054,0.0062,0.0051,0.0042,0.0049,0.005,0.0032,0.0034,0.0026
Australia,Guatemala,Export,Export Partner Share (%),0.0087,0.0088,0.0109,0.0088,0.008,0.0113,0.014,0.0193,0.0155,0.0096,0.0061,0.009,0.0064,0.0041,0.0026,0.0061,0.0022,0.0011,0.0016,0.0012
Australia,Guinea,Export,Export Partner Share (%),0.0029,0.0087,0.0055,0.0105,0.0067,0.0056,0.0104,0.0186,0.0185,0.0096,0.0101,0.01,0.0075,0.0021,0.0009,0.0019,0.0017,0.0026,0.0034,0.0014
Australia,Guinea-Bissau,Export,Export Partner Share (%),0,0.0001,0,0.0002,0,0,0.0005,0.0001,0,0,0,0.0001,,,,,0.0001,,,0
Australia,Guyana,Export,Export Partner Share (%),0.0039,0.0022,0.0018,0.004,0.0013,0.001,0.0013,0.0039,0.0005,0.0014,0.0009,0.0019,0.0007,0.0006,0.0036,0.0009,0.0008,0.0014,0.0011,0.0015
Australia,Haiti,Export,Export Partner Share (%),0.0001,0.0066,0.0001,0.0002,0.0011,0.0002,0.0003,0.0008,0.0013,0.0002,0.0001,0.0005,0.0001,0.0002,0.0001,0.0003,0.0008,0.0001,0.0002,0.0001
Australia,Honduras,Export,Export Partner Share (%),0.0034,0.0056,0.0087,0.008,0.0041,0.0043,0.005,0.008,0.0027,0.002,0.0008,0.001,0.0011,0.0007,0.0007,0.0004,0.0002,0.0006,0.0004,0.0006
Australia,"Hong Kong, China",Export,Export Partner Share (%),3.2364,3.4176,2.966,2.6619,2.3145,1.9195,1.9186,1.6631,1.353,1.4664,1.3642,1.1455,1.0345,0.9781,1.0583,1.2939,3.8009,3.9885,3.0369,1.9405
Australia,Hungary,Export,Export Partner Share (%),0.0087,0.0205,0.0211,0.0232,0.0136,0.0149,0.0152,0.0069,0.0075,0.0058,0.0052,0.0057,0.0059,0.0069,0.0066,0.0101,0.0125,0.0094,0.0107,0.0162
Australia,Iceland,Export,Export Partner Share (%),0.0021,0.0018,0.0023,0.0019,0.0024,0.0044,0.0095,0.0041,0.0025,0.0009,0.0023,0.0012,0.0014,0.0006,0.0014,0.0008,0.0854,0.0908,0.1262,0.068
Australia,India,Export,Export Partner Share (%),1.6617,1.9794,2.0779,3.0946,4.6148,5.0208,5.3881,5.5264,6.0903,7.3838,7.1234,5.8459,4.9218,3.3526,3.3252,4.2316,4.176,5.1969,4.8934,3.6423
Australia,Indonesia,Export,Export Partner Share (%),2.6232,2.6289,2.5624,2.5811,2.7492,2.5934,2.6947,2.3227,1.9199,2.1119,1.9478,2.0659,1.9329,1.6545,1.8856,1.9861,2.0967,2.2171,1.8975,1.5389
Australia,"Iran, Islamic Rep.",Export,Export Partner Share (%),0.5479,0.6144,0.5159,0.244,0.1294,0.1275,0.2041,0.1251,0.0919,0.3035,0.073,0.0577,0.1731,0.106,0.135,0.036,0.032,0.05,0.0444,0.0154
Australia,Iraq,Export,Export Partner Share (%),0.5351,0.6755,0.5598,0.2269,0.3976,0.2052,0.0742,0.0057,0.0667,0.1509,0.0343,0.1459,0.0666,0.2282,0.1063,0.0153,0.0147,0.0297,0.0812,0.0066
Australia,Ireland,Export,Export Partner Share (%),0.1316,0.2553,0.1553,0.1607,0.1664,0.1107,0.0977,0.1345,0.096,0.0585,0.0576,0.0373,0.0317,0.0254,0.0192,0.0256,0.0407,0.0326,0.0316,0.0236
Australia,Israel,Export,Export Partner Share (%),0.2212,0.2271,0.2081,0.1838,0.1095,0.1132,0.1131,0.1071,0.1426,0.1016,0.0821,0.0986,0.0952,0.0745,0.0847,0.1211,0.1026,0.0706,0.0838,0.0733
Australia,Italy,Export,Export Partner Share (%),1.6715,1.8001,1.7111,1.4714,1.1989,1.0803,1.1123,0.9295,0.7602,0.5163,0.4919,0.4824,0.336,0.2642,0.2409,0.289,0.2731,0.2446,0.2556,0.1742
Australia,Jamaica,Export,Export Partner Share (%),0.0356,0.0256,0.0257,0.0255,0.0217,0.0156,0.0194,0.0192,0.0082,0.011,0.0087,0.0058,0.0041,0.0035,0.0047,0.0151,0.0057,0.0059,0.0075,0.0083
Australia,Japan,Export,Export Partner Share (%),19.76,19.3644,18.5657,18.2396,18.8638,20.4733,19.8232,18.9835,22.8691,19.5024,18.8998,19.3332,19.388,12.3939,17.94,15.883,13.8926,14.6354,16.3607,14.8117
Australia,Jordan,Export,Export Partner Share (%),0.0927,0.0782,0.0959,0.1203,0.101,0.0645,0.0695,0.0431,0.0402,0.0779,0.0604,0.0765,0.0731,0.0736,0.0816,0.0973,0.0741,0.0464,0.0393,0.0395
Australia,Kazakhstan,Export,Export Partner Share (%),0.0043,0.0089,0.0032,0.0024,0.0054,0.0077,0.0045,0.008,0.011,0.007,0.0085,0.0087,0.0148,0.0144,0.0074,0.0077,0.006,0.0041,0.0047,0.0066
Australia,Kenya,Export,Export Partner Share (%),0.0845,0.0777,0.0672,0.0269,0.0336,0.0306,0.0348,0.0313,0.0289,0.0162,0.0165,0.0216,0.0204,0.035,0.0325,0.0301,0.0264,0.0407,0.0228,0.0185
Australia,Kiribati,Export,Export Partner Share (%),0.0275,0.0275,0.0354,0.0279,0.0238,0.022,0.0166,0.0186,0.0096,0.0125,0.0089,0.0095,0.0084,0.0057,0.008,0.0109,0.0098,0.0082,0.006,0.005
Australia,"Korea, Dem. Rep.",Export,Export Partner Share (%),0.0043,,,0.0016,0.0085,,,,,,,0.0024,,,,,,,,
Australia,"Korea, Rep.",Export,Export Partner Share (%),8.2025,7.782,8.3588,7.4936,7.7942,7.8856,7.5494,8.0088,8.2877,7.9805,8.8773,8.9112,8.0162,7.0237,7.4411,7.0819,6.7343,6.746,7.0203,6.5561
Australia,Kuwait,Export,Export Partner Share (%),0.2917,0.3946,0.4422,0.5146,0.44,0.3397,0.3205,0.3146,0.2256,0.2494,0.2199,0.2352,0.2072,0.2078,0.2323,0.2962,0.2745,0.1871,0.1128,0.115
Australia,Kyrgyz Republic,Export,Export Partner Share (%),0.0005,0.0006,0.0006,0.0002,0.0001,0.0002,0.0004,0.0012,0.0015,0.0002,0.0004,0.0011,0.0011,0.0006,0.0014,0.001,0.0008,0.0007,0.0004,0.0014
Australia,Lao PDR,Export,Export Partner Share (%),0.0062,0.0118,0.0177,0.0105,0.0195,0.017,0.0151,0.0155,0.0078,0.0055,0.0107,0.009,0.0144,0.0139,0.0134,0.0107,0.009,0.0083,0.008,0.0072
Australia,Latvia,Export,Export Partner Share (%),0.0067,0.0057,0.0062,0.006,0.009,0.007,0.0068,0.0075,0.0048,0.0032,0.0032,0.0031,0.0032,0.0051,0.0031,0.0024,0.0031,0.0039,0.0047,0.0068
Australia,Lebanon,Export,Export Partner Share (%),0.0479,0.0363,0.0237,0.0191,0.031,0.019,0.0151,0.0118,0.0127,0.0175,0.0127,0.0161,0.0124,0.0139,0.0162,0.0216,0.0164,0.0158,0.0116,0.0109
Australia,Lesotho,Export,Export Partner Share (%),0.0001,,0,0.0005,0.0003,0.0002,0.0001,0.0001,0,0,0.0001,,0.0001,0,,0,0,0,0,0
Australia,Liberia,Export,Export Partner Share (%),0.0002,0.0004,0.0001,0.0004,0.0048,0.0033,0.0004,0.0014,0.0008,0.001,0.0012,0.0012,0.0011,0.0013,0.0053,0.001,0.0005,0.0004,0.0005,0.0002
